Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-04-20,131,NABIL,Nabil Bank Limited,500,501.2,490,492.09,79228,39103117.8,494.38,700,419,2025-04-20T14:59:53.799788,492,605,493.55,133144.78
2,2025-04-20,132,NIMB,Nepal Investment Mega Bank Limited,219.4,223.5,215,216.29,114711,24957288.5,215.19,295,147.4,2025-04-20T14:59:45.276104,216.2,496,217.56,73816.74
3,2025-04-20,133,SCB,Standard Chartered Bank Limited,636,636,622.3,630.07,32096,20201231.6,635.87,790,511,2025-04-20T14:59:13.303684,629.9,289,629.4,63273.95
4,2025-04-20,134,HBL,Himalayan Bank Limited,233.1,236,230.8,233.62,67924,15784073.5,237.79,312.1,167.1,2025-04-20T14:59:57.934585,234.9,239,232.37,50594.19
5,2025-04-20,139,NICA,NIC Asia Bank Ltd.,375.5,375.5,369,369.81,122259,45413718.4,383.07,573,341.6,2025-04-20T14:59:51.60649,370,680,371.45,55166.65
6,2025-04-20,140,MBL,Machhapuchhre Bank Limited,233,234,227.8,228.68,82568,18993680,230.12,295,157.8,2025-04-20T14:59:59.859119,228,223,230.03,26575.72
7,2025-04-20,142,KBL,Kumari Bank Limited,211,211,204,205.96,239347,49479359.8,211.03,272.9,129.6,2025-04-20T14:59:50.142723,206,618,206.72,54014.78
8,2025-04-20,149,OHL,Oriental Hotels Limited,889,889,879.1,879.95,2778,2449212.3,889,1205,704,2025-04-20T14:56:50.173949,879.2,22,881.64,10422.96
9,2025-04-20,153,BPCL,Butwal Power Company Limited,421,430,415,422.1,59789,25355138,414.76,536.5,284.4,2025-04-20T14:59:50.022421,423,375,424.07,14389.66
10,2025-04-20,156,BBC,Bishal Bazar Company Limited,6080,6081,5860,6029,1140,6803643.5,5965.35,7247,3631,2025-04-20T14:50:56.905963,6029,63,5968.1,241762.9
11,2025-04-20,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,674.9,688.3,674.9,682.9,8003,5472686.6,688.3,930.2,613,2025-04-20T14:59:39.381246,683,51,683.82,17837.89
12,2025-04-20,172,NABBC,Narayani Development Bank Limited,1743.8,1917,1743.8,1791.46,120909,216713244.5,1779.37,2060,400,2025-04-20T14:59:57.957448,1787.7,73,1792.36,4702
13,2025-04-20,176,NICL,Nepal Insurance Co. Ltd.,837,837,805.4,819.03,10274,8382898.2,821.39,1162,795.3,2025-04-20T14:57:01.024522,823,85,815.93,15486.86
14,2025-04-20,177,RBCL,Rastriya Beema Company Limited,15175,15650,15060,15200.06,160,2440139,15470.09,22493.9,12800,2025-04-20T14:59:08.808158,15200,15,15250.86,40528.91
15,2025-04-20,178,NLICL,National Life Insurance Co. Ltd.,649,649,636.1,638.8,28801,18438591.4,640.3,776.1,521.3,2025-04-20T14:59:58.625431,638,89,640.2,33295.11
16,2025-04-20,180,UAIL,United Ajod Insurance Limited,645,648,635,637.07,11236,7201432,644.39,837.3,516,2025-04-20T14:59:39.592761,640,98,640.92,13378.47
17,2025-04-20,182,SPIL,Siddhartha Premier Insurance Limited,844.73,878,837.1,854.1,14289,12218588,844.73,1076,712,2025-04-20T14:59:18.307568,854,82,855.1,23970.74
18,2025-04-20,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,729.9,738,720,727.88,4644,3368539.8,729.56,926,602,2025-04-20T14:59:16.236706,727,41,725.35,19089.66
19,2025-04-20,186,IGI,IGI Prudential insurance Limited,577.1,588,571.5,572.06,11378,6555351.3,582.96,760,508,2025-04-20T14:54:17.763763,578,83,576.14,17329.61
20,2025-04-20,188,LICN,Life Insurance Corporation (Nepal) Limited,970,982,964,967.31,21272,20617284.7,967.08,2475,964,2025-04-20T14:59:51.624796,968,224,969.22,48365.5
21,2025-04-20,192,SICL,Shikhar Insurance Co. Ltd.,815,821,800,819.51,41462,33657625.1,801.57,1120,670,2025-04-20T14:59:54.85513,819.1,257,811.77,23933.31
22,2025-04-20,195,BNL,Bottlers Nepal (Balaju) Limited,17494,18199,17494,18199,30,535368,17151,22500,14900,2025-04-20T11:49:48.913401,18199,3,17845.6,35467.79
23,2025-04-20,204,GUFL,Gurkhas Finance Ltd.,613,613,591.5,592.7,7660,4580321.9,601.85,1041,548,2025-04-20T14:59:44.50102,592.6,74,597.95,5144.6
24,2025-04-20,227,BFC,Best Finance Company Ltd.,567,567,545,546.21,12436,6818767.4,557.93,951.6,343,2025-04-20T14:59:19.961151,548.8,122,548.3,4863.59
25,2025-04-20,235,HDL,Himalayan Distillery Limited,1202.1,1210,1195,1195.55,33523,40218145.1,1201.54,1749,1136,2025-04-20T14:59:53.193619,1195,563,1199.71,36744.06
26,2025-04-20,236,PFL,Pokhara Finance Ltd.,417,433,415.1,419.83,13705,5784201.1,422.3,795,339.9,2025-04-20T14:59:55.887833,418.5,126,422.05,4544.9
27,2025-04-20,238,NMB,NMB Bank Limited,259,259,252,253.39,62621,15919993.4,258.18,300,162,2025-04-20T14:59:57.438714,253.1,171,254.22,46539.4
28,2025-04-20,244,SIFC,Shree Investment Finance Co. Ltd.,526,542,526,527.91,6902,3661068.5,533.29,795,366.4,2025-04-20T14:59:44.950106,528,55,530.43,5279.1
29,2025-04-20,135,SBI,Nepal SBI Bank Limited,425,451,418,442.68,123884,52725586.7,426.06,549,268.6,2025-04-20T14:59:29.075803,433.2,178,425.6,48248.39
30,2025-04-20,137,EBL,Everest Bank Limited,631,631,620,625.05,63635,39759228.7,619.09,790,492.1,2025-04-20T14:59:58.205171,625.5,349,624.8,80910.81
31,2025-04-20,141,LSL,Laxmi Sunrise Bank Limited,226,226,215,216.31,161304,35312297.6,223.65,300,143.6,2025-04-20T14:59:51.320649,216.3,296,218.91,52663.94
32,2025-04-20,145,SBL,Siddhartha Bank Limited,285.6,301,283.1,286.08,34008,9781406.6,291.4,380,214,2025-04-20T14:59:58.431041,287,121,287.62,40308.62
33,2025-04-20,147,SHL,Soaltee Hotel Limited,514.8,515,496.4,501.9,66230,33526347.3,509.12,636.5,416.5,2025-04-20T14:59:30.925817,503,204,506.21,51287.29
34,2025-04-20,148,TRH,Taragaon Regency Hotel Limited,1037,1047,1015.8,1026.95,1874,1930629.7,1052.11,1538,695.1,2025-04-20T14:56:31.540377,1026,38,1030.21,20149.99
35,2025-04-20,152,NHPC,National Hydro Power Company Limited,225,225,214.5,217.55,134972,29283075.9,222.9,290,136,2025-04-20T14:59:43.160436,219.9,351,216.95,5365.74
36,2025-04-20,154,CHCL,Chilime Hydropower Company Limited,488,512,487,495.02,127350,63645436,489.25,697,426.3,2025-04-20T14:59:59.894044,498,592,499.76,43474.62
37,2025-04-20,155,STC,Salt Trading Corporation,5131.4,5250,5116,5226.24,1011,5251786.9,5202.64,7000,4210,2025-04-20T14:59:57.632084,5249,54,5194.64,16761.45
38,2025-04-20,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,853,859.9,849,852.21,7592,6470514.7,849.33,1155,800,2025-04-20T14:59:59.865515,853,119,852.28,27401.5
39,2025-04-20,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,790.1,797,790.1,790.25,5827,4627668.4,800.54,1099,670,2025-04-20T14:59:32.947911,790.2,64,794.17,14764.13
40,2025-04-20,171,SANIMA,Sanima Bank Limited,310,313,307,309.54,113708,35233967.3,306.23,382,228,2025-04-20T14:59:59.666978,309.5,306,309.86,42040.25
41,2025-04-20,179,HEI,Himalayan Everest Insurance Limited,615,617.6,605,609.3,4547,2767292.7,613.35,810,558,2025-04-20T14:54:23.358234,610,39,608.59,15233.46
42,2025-04-20,183,NIL,Neco Insurance Limited,760,767.6,760,762.69,16798,12823602.7,764,1050,735,2025-04-20T14:59:37.866412,765,76,763.4,19185.09
43,2025-04-20,184,PRIN,Prabhu Insurance Ltd.,917,920,906,916.45,16456,15036717.5,918.29,1113,740,2025-04-20T14:59:46.981127,919,84,913.75,13210.52
44,2025-04-20,187,NLIC,Nepal Life Insurance Co. Ltd.,786,788,773,773.64,44780,34846882.8,785.75,1060,566,2025-04-20T14:59:57.502987,773.5,278,778.17,69850.12
45,2025-04-20,194,NFS,Nepal Finance Ltd.,699,699,681,686.21,14728,10140673.6,695.98,2614.9,426,2025-04-20T14:58:50.743383,687.5,180,688.53,5756.92
46,2025-04-20,210,CIT,Citizen Investment Trust,2003.7,2013,1970,1980.48,9867,19603272.3,1990.47,2700,1887,2025-04-20T14:59:49.072369,1982,226,1986.75,128369.02
47,2025-04-20,213,BNT,Bottlers Nepal (Terai) Limited,13299,13299,13041.5,13041.5,74,970346,13145.4,18100,12300,2025-04-20T14:14:07.287436,13041.5,6,13112.78,15780.22
48,2025-04-20,219,UNL,Unilever Nepal Limited,46502,47500,46502,47500,60,2823019,47300,56805.8,38400,2025-04-20T14:07:59.241621,47500,6,47050.31,43733.25
49,2025-04-20,232,GFCL,Goodwill Finance Limited,680,680.1,667,668.97,13971,9399658,679.49,1353,438,2025-04-20T14:59:35.201163,667,102,672.79,6329.23
50,2025-04-20,245,CFCL,Central Finance Co. Ltd.,600,600,583.1,584.84,50322,29620582.3,602.17,820,354,2025-04-20T14:59:58.730751,583.1,281,588.62,5549.4
51,2025-04-20,256,SFCL,Samriddhi Finance Company Limited,546,548,530,530.63,10609,5684356.4,541.03,1117.9,310,2025-04-20T14:59:43.461189,530,86,535.8,4345.39
52,2025-04-20,273,ICFC,ICFC Finance Limited,606.2,606.2,598.1,598.33,11819,7098653.7,603.74,910,488,2025-04-20T14:59:42.447792,598.2,112,600.61,7081.06
53,2025-04-20,274,EDBL,Excel Development Bank Ltd.,650,662,630,632.54,51586,32925904.7,658.22,838.2,343.5,2025-04-20T14:59:59.890288,634.2,234,638.27,7904.82
54,2025-04-20,307,NTC,Nepal Doorsanchar Company Limited,915,915,890,898.67,33331,29814962.7,902.74,1214,800,2025-04-20T14:59:55.593966,897.1,197,894.51,161760.6
55,2025-04-20,338,PROFL,Progressive Finance Limited,544,544,530.3,532.6,12959,6940559.9,533.67,865,313,2025-04-20T14:59:59.819308,539,112,535.57,4559.63
56,2025-04-20,341,GBIME,Global IME Bank Limited,227,231,221.7,222.8,182192,40849093,222.62,302,170,2025-04-20T14:59:36.869416,222.2,627,224.2,84922.12
57,2025-04-20,250,JFL,Janaki Finance Company Limited,516,516,500,501.33,28441,14340496.6,506.95,1083.3,400,2025-04-20T14:59:49.101954,500,180,504.21,3461.55
58,2025-04-20,255,PRVU,Prabhu  Bank Limited,213,216,209,209.57,130227,27496444.4,212.86,297,132,2025-04-20T14:59:37.576512,209.9,458,211.14,49338
59,2025-04-20,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,516,516,500.2,501.06,12053,6062077.2,506.05,759,348,2025-04-20T14:58:36.446245,500.5,73,502.95,5071.61
60,2025-04-20,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,856,856,816,824.5,6208,5108544.1,839.96,1232,711.5,2025-04-20T14:53:08.815245,836,68,822.89,13658.87
61,2025-04-20,283,KBLPO,Kumari Bank Limited Promotor Share,115,115,115,115,3136,360640,115,115,100,2025-04-20T12:57:17.907998,115,2,115,603.75
62,2025-04-20,358,LBBL,Lumbini Bikas Bank Ltd.,430,430,398.6,411.65,89576,36871459.4,430.09,560,361,2025-04-20T14:59:44.101277,412,388,411.62,14916.87
63,2025-04-20,385,ALICL,Asian Life Insurance Co. Limited,732.3,750,717.7,739.51,19702,14624461.3,747.21,831,523,2025-04-20T14:59:59.89768,744.9,109,742.28,25142.13
